order_id,supplier_id,distance_km,transport_mode,order_quantity,warehouse_load,season,delay_history,lead_time_days,Warehouse Load %,Delay %,Warehouse Status,Delay Risk,Lead Time Category,Distance Category
532,S38,838,Truck,2196,0.7,Normal,0.5,27,70,50,High,High Risk,Medium,Medium Distance
533,S21,1078,Ship,2370,0.43,Peak,0,17,43,0,Normal,Low Risk,Medium,Medium Distance
534,S14,1267,Truck,3594,0.76,Peak,0.48,39,76,48,High,High Risk,Long,Medium Distance
535,S27,42,Train,1030,0.53,Monsoon,0.2,10,53,20,Normal,Low Risk,Short,Short Distance
536,S24,1408,Truck,3218,0.98,Monsoon,0.12,39,98,12,Critical,Low Risk,Long,Medium Distance
537,S27,1815,Air,1392,0.81,Normal,0.19,98,81,19,Critical,Low Risk,Very Long,Long Distance
538,S15,1692,Train,3981,0.27,Peak,0.36,33,27,36,Normal,Medium Risk,Long,Long Distance
539,S7,163,Ship,894,0.13,Normal,0.04,5,13,4,Normal,Low Risk,Short,Short Distance
540,S26,118,Train,930,0.71,Monsoon,0.08,13,71,8,High,Low Risk,Short,Short Distance
541,S24,1229,Ship,259,0.63,Normal,0.15,17,63,15,High,Low Risk,Medium,Medium Distance
542,S1,481,Truck,3312,0.21,Peak,0.5,20,21,50,Normal,High Risk,Medium,Short Distance
543,S30,440,Air,3464,0.87,Peak,0.23,33,87,23,Critical,Low Risk,Long,Short Distance
544,S17,1939,Truck,4910,0.11,Normal,0.13,44,11,13,Normal,Low Risk,Long,Long Distance
545,S32,116,Air,3468,0.49,Monsoon,0.11,15,49,11,Normal,Low Risk,Medium,Short Distance
546,S45,227,Truck,4872,0.37,Monsoon,0.53,18,37,53,Normal,High Risk,Medium,Short Distance
547,S23,112,Ship,1753,0.5,Monsoon,0.11,10,50,11,Normal,Low Risk,Short,Short Distance
548,S18,976,Truck,51,0.94,Peak,0.07,31,94,7,Critical,Low Risk,Long,Medium Distance
549,S19,882,Train,78,0.15,Normal,0.45,21,15,45,Normal,High Risk,Medium,Medium Distance
550,S41,478,Train,2213,0.63,Normal,0.17,13,63,17,High,Low Risk,Short,Short Distance
551,S49,1706,Air,2271,0.39,Monsoon,0.26,95,39,26,Normal,Medium Risk,Very Long,Long Distance
552,S46,141,Air,675,0.8,Normal,0.07,14,80,7,Critical,Low Risk,Short,Short Distance
553,S3,591,Truck,2784,0.21,Peak,0.28,20,21,28,Normal,Medium Risk,Medium,Short Distance
554,S8,1995,Truck,2258,0.24,Monsoon,0.5,52,24,50,Normal,High Risk,Long,Long Distance
555,S25,248,Truck,386,0.6,Normal,0.09,12,60,9,High,Low Risk,Short,Short Distance
556,S47,225,Train,3505,0.2,Peak,0.14,11,20,14,Normal,Low Risk,Short,Short Distance
557,S11,713,Ship,2428,0.39,Normal,0.12,13,39,12,Normal,Low Risk,Short,Short Distance
558,S15,1640,Air,4743,0.74,Monsoon,0.18,94,74,18,High,Low Risk,Very Long,Long Distance
559,S47,1958,Train,4202,0.37,Monsoon,0.08,37,37,8,Normal,Low Risk,Long,Long Distance
560,S28,1658,Train,1398,0.74,Peak,0.38,37,74,38,High,Medium Risk,Long,Long Distance
561,S40,243,Truck,88,0.54,Normal,0.34,14,54,34,Normal,Medium Risk,Short,Short Distance
562,S49,1553,Truck,2674,0.15,Peak,0.51,42,15,51,Normal,High Risk,Long,Long Distance
563,S25,1239,Ship,2776,0.66,Normal,0.21,19,66,21,High,Low Risk,Medium,Medium Distance
564,S32,526,Ship,215,0.34,Peak,0.32,14,34,32,Normal,Medium Risk,Short,Short Distance
565,S42,1748,Ship,2162,0.51,Peak,0.22,23,51,22,Normal,Low Risk,Medium,Long Distance
566,S19,557,Ship,4975,0.45,Peak,0.3,13,45,30,Normal,Medium Risk,Short,Short Distance
567,S26,1135,Truck,4309,0.79,Monsoon,0.38,36,79,38,High,Medium Risk,Long,Medium Distance
568,S8,994,Truck,4113,0.16,Normal,0.07,24,16,7,Normal,Low Risk,Medium,Medium Distance
569,S38,847,Air,1897,0.64,Monsoon,0.21,52,64,21,High,Low Risk,Long,Medium Distance
570,S38,1133,Air,4587,0.5,Peak,0.12,63,50,12,Normal,Low Risk,Very Long,Medium Distance
571,S44,1440,Ship,2357,1,Peak,0.07,24,100,7,Critical,Low Risk,Medium,Medium Distance
572,S20,729,Train,4961,0.92,Peak,0.16,22,92,16,Critical,Low Risk,Medium,Short Distance
573,S35,1406,Truck,2932,0.59,Peak,0.04,35,59,4,Normal,Low Risk,Long,Medium Distance
574,S22,1730,Truck,719,0.45,Peak,0.15,42,45,15,Normal,Low Risk,Long,Long Distance
575,S28,214,Train,2636,0.35,Monsoon,0.04,11,35,4,Normal,Low Risk,Short,Short Distance
576,S49,1477,Air,2172,0.66,Normal,0.47,82,66,47,High,High Risk,Very Long,Medium Distance
577,S9,1450,Ship,1798,0.68,Monsoon,0.45,28,68,45,High,High Risk,Medium,Medium Distance
578,S36,1675,Air,1232,0.79,Normal,0.21,92,79,21,High,Low Risk,Very Long,Long Distance
579,S48,152,Train,4463,0.83,Peak,0.38,16,83,38,Critical,Medium Risk,Medium,Short Distance
580,S26,726,Air,2493,0.35,Monsoon,0.43,48,35,43,Normal,Medium Risk,Long,Short Distance
581,S20,148,Air,4735,0.26,Peak,0.06,14,26,6,Normal,Low Risk,Short,Short Distance
582,S30,781,Ship,3024,0.24,Peak,0.04,14,24,4,Normal,Low Risk,Short,Medium Distance
583,S40,460,Train,4593,0.41,Monsoon,0.27,17,41,27,Normal,Medium Risk,Medium,Short Distance
584,S38,315,Truck,516,0.25,Normal,0.34,14,25,34,Normal,Medium Risk,Short,Short Distance
585,S32,353,Ship,2497,0.62,Normal,0.12,10,62,12,High,Low Risk,Short,Short Distance
586,S47,457,Truck,1865,0.5,Peak,0.51,21,50,51,Normal,High Risk,Medium,Short Distance
587,S29,1954,Train,3814,0.67,Monsoon,0.08,40,67,8,High,Low Risk,Long,Long Distance
588,S22,331,Air,2468,0.86,Normal,0.48,27,86,48,Critical,High Risk,Medium,Short Distance
589,S16,1821,Air,1080,0.75,Monsoon,0.51,105,75,51,High,High Risk,Very Long,Long Distance
590,S49,1354,Train,2959,0.17,Peak,0.46,30,17,46,Normal,High Risk,Long,Medium Distance
591,S38,124,Train,2548,0.17,Peak,0.55,12,17,55,Normal,High Risk,Short,Short Distance
592,S44,848,Truck,3127,0.78,Normal,0.55,29,78,55,High,High Risk,Medium,Medium Distance
593,S34,1628,Train,1880,0.56,Peak,0.38,36,56,38,Normal,Medium Risk,Long,Long Distance
594,S13,276,Train,329,0.46,Monsoon,0.26,15,46,26,Normal,Medium Risk,Medium,Short Distance
595,S15,1258,Truck,4268,0.84,Normal,0.14,35,84,14,Critical,Low Risk,Long,Medium Distance
596,S39,1764,Ship,1379,0.21,Normal,0.15,22,21,15,Normal,Low Risk,Medium,Long Distance
597,S5,1719,Air,2975,0.45,Monsoon,0.57,98,45,57,Normal,High Risk,Very Long,Long Distance
598,S10,380,Truck,3447,0.17,Normal,0.43,13,17,43,Normal,Medium Risk,Short,Short Distance
599,S9,1036,Train,4116,0.4,Normal,0.16,21,40,16,Normal,Low Risk,Medium,Medium Distance
600,S6,318,Train,1585,0.99,Monsoon,0.02,15,99,2,Critical,Low Risk,Medium,Short Distance
601,S13,1387,Train,3397,0.71,Peak,0.2,32,71,20,High,Low Risk,Long,Medium Distance
602,S8,1291,Truck,3784,0.32,Normal,0.5,33,32,50,Normal,High Risk,Long,Medium Distance
603,S36,207,Air,2747,0.82,Normal,0.49,21,82,49,Critical,High Risk,Medium,Short Distance
604,S12,1783,Train,4950,0.95,Normal,0.14,34,95,14,Critical,Low Risk,Long,Long Distance
605,S20,1500,Air,2009,0.53,Normal,0.52,85,53,52,Normal,High Risk,Very Long,Long Distance
606,S2,26,Air,4102,0.65,Normal,0.41,11,65,41,High,Medium Risk,Short,Short Distance
607,S23,1266,Train,3750,0.39,Monsoon,0.08,27,39,8,Normal,Low Risk,Medium,Medium Distance
608,S43,1502,Ship,542,0.45,Normal,0.08,20,45,8,Normal,Low Risk,Medium,Long Distance
609,S3,366,Ship,1106,0.31,Normal,0.23,8,31,23,Normal,Low Risk,Short,Short Distance
610,S9,1858,Air,2941,0.24,Monsoon,0.52,105,24,52,Normal,High Risk,Very Long,Long Distance
611,S6,875,Truck,942,0.45,Normal,0.27,26,45,27,Normal,Medium Risk,Medium,Medium Distance
612,S41,1298,Air,2825,0.69,Peak,0.38,76,69,38,High,Medium Risk,Very Long,Medium Distance
613,S48,652,Air,1281,0.35,Peak,0.01,38,35,1,Normal,Low Risk,Long,Short Distance
614,S43,589,Train,4864,0.56,Monsoon,0.11,17,56,11,Normal,Low Risk,Medium,Short Distance
615,S47,1049,Air,2646,0.74,Normal,0.08,59,74,8,High,Low Risk,Long,Medium Distance
616,S31,783,Ship,3103,0.11,Monsoon,0.5,19,11,50,Normal,High Risk,Medium,Medium Distance
617,S30,799,Air,1640,0.98,Normal,0.35,50,98,35,Critical,Medium Risk,Long,Medium Distance
618,S42,455,Truck,102,0.87,Monsoon,0.08,18,87,8,Critical,Low Risk,Medium,Short Distance
619,S28,252,Air,2506,0.68,Monsoon,0.2,21,68,20,High,Low Risk,Medium,Short Distance
620,S25,1142,Truck,3295,0.89,Monsoon,0.54,38,89,54,Critical,High Risk,Long,Medium Distance
621,S12,713,Train,4990,0.93,Normal,0,17,93,0,Critical,Low Risk,Medium,Short Distance
622,S33,688,Air,3972,0.15,Normal,0.49,43,15,49,Normal,High Risk,Long,Short Distance
623,S36,1102,Air,743,0.26,Normal,0.48,64,26,48,Normal,High Risk,Very Long,Medium Distance
624,S15,1436,Ship,1547,0.68,Monsoon,0.47,29,68,47,High,High Risk,Medium,Medium Distance
625,S24,1537,Train,2721,0.56,Normal,0.46,32,56,46,Normal,High Risk,Long,Long Distance
626,S12,1959,Truck,2076,0.79,Normal,0.29,49,79,29,High,Medium Risk,Long,Long Distance
627,S12,711,Truck,884,0.22,Monsoon,0.19,23,22,19,Normal,Low Risk,Medium,Short Distance
628,S42,1481,Train,220,0.62,Monsoon,0.11,31,62,11,High,Low Risk,Long,Medium Distance
629,S35,586,Ship,1560,0.86,Monsoon,0.02,17,86,2,Critical,Low Risk,Medium,Short Distance
630,S25,403,Train,2481,0.34,Peak,0.12,11,34,12,Normal,Low Risk,Short,Short Distance
631,S33,150,Air,3042,0.78,Normal,0.21,16,78,21,High,Low Risk,Medium,Short Distance
632,S5,1361,Ship,386,0.37,Monsoon,0.03,20,37,3,Normal,Low Risk,Medium,Medium Distance
633,S39,541,Truck,4179,0.48,Normal,0.37,19,48,37,Normal,Medium Risk,Medium,Short Distance
634,S24,483,Air,4944,0.91,Normal,0.18,33,91,18,Critical,Low Risk,Long,Short Distance
635,S15,1081,Ship,1044,0.13,Normal,0.09,14,13,9,Normal,Low Risk,Short,Medium Distance
636,S28,888,Train,2306,0.87,Normal,0.05,20,87,5,Critical,Low Risk,Medium,Medium Distance
637,S5,727,Ship,780,0.42,Monsoon,0.27,17,42,27,Normal,Medium Risk,Medium,Short Distance
638,S39,703,Air,407,0.17,Normal,0.57,45,17,57,Normal,High Risk,Long,Short Distance
639,S24,1042,Ship,2300,0.6,Normal,0.58,22,60,58,High,High Risk,Medium,Medium Distance
640,S37,592,Truck,2551,0.19,Monsoon,0.14,16,19,14,Normal,Low Risk,Medium,Short Distance
641,S14,1755,Train,1299,0.42,Normal,0.05,30,42,5,Normal,Low Risk,Long,Long Distance
642,S46,818,Ship,2591,0.19,Monsoon,0.05,13,19,5,Normal,Low Risk,Short,Medium Distance
643,S1,1740,Train,1485,0.95,Monsoon,0.54,39,95,54,Critical,High Risk,Long,Long Distance
644,S26,1149,Train,1855,0.51,Peak,0.55,30,51,55,Normal,High Risk,Long,Medium Distance
645,S30,1125,Ship,4556,0.75,Peak,0.48,23,75,48,High,High Risk,Medium,Medium Distance
646,S39,1763,Ship,2212,0.85,Monsoon,0.03,26,85,3,Critical,Low Risk,Medium,Long Distance
647,S14,1295,Ship,272,0.75,Normal,0.57,24,75,57,High,High Risk,Medium,Medium Distance
648,S7,1706,Ship,4241,0.19,Normal,0.19,20,19,19,Normal,Low Risk,Medium,Long Distance
649,S39,887,Air,4142,0.25,Peak,0.42,55,25,42,Normal,Medium Risk,Long,Medium Distance
650,S26,1819,Train,3580,0.81,Peak,0.45,40,81,45,Critical,High Risk,Long,Long Distance
651,S9,1636,Train,3721,0.47,Normal,0.18,30,47,18,Normal,Low Risk,Long,Long Distance
652,S10,351,Train,4115,0.21,Normal,0.54,14,21,54,Normal,High Risk,Short,Short Distance
653,S5,149,Ship,2073,0.75,Monsoon,0.39,15,75,39,High,Medium Risk,Medium,Short Distance
654,S36,1420,Ship,3050,0.86,Peak,0.5,28,86,50,Critical,High Risk,Medium,Medium Distance
655,S29,976,Truck,1612,0.38,Peak,0.58,30,38,58,Normal,High Risk,Long,Medium Distance
656,S24,1141,Truck,3050,0.7,Normal,0.43,32,70,43,High,Medium Risk,Long,Medium Distance
657,S42,1058,Train,558,0.49,Peak,0.03,21,49,3,Normal,Low Risk,Medium,Medium Distance
658,S21,1705,Train,764,0.33,Normal,0.12,30,33,12,Normal,Low Risk,Long,Long Distance
659,S43,291,Ship,2957,0.75,Monsoon,0.39,15,75,39,High,Medium Risk,Medium,Short Distance
660,S16,59,Air,2773,0.32,Peak,0.49,13,32,49,Normal,High Risk,Short,Short Distance
661,S20,620,Air,988,0.23,Peak,0.2,36,23,20,Normal,Low Risk,Long,Short Distance
662,S26,1748,Truck,3310,0.87,Normal,0.46,48,87,46,Critical,High Risk,Long,Long Distance
663,S5,1821,Train,4685,0.79,Monsoon,0.33,42,79,33,High,Medium Risk,Long,Long Distance
664,S19,556,Ship,3816,0.47,Normal,0.23,11,47,23,Normal,Low Risk,Short,Short Distance
665,S9,673,Truck,884,0.22,Peak,0.35,22,22,35,Normal,Medium Risk,Medium,Short Distance
666,S13,1663,Train,2197,0.18,Normal,0.42,31,18,42,Normal,Medium Risk,Long,Long Distance
667,S38,1711,Train,4938,0.84,Normal,0.57,38,84,57,Critical,High Risk,Long,Long Distance
668,S12,1656,Truck,2923,0.15,Normal,0.36,40,15,36,Normal,Medium Risk,Long,Long Distance
669,S29,918,Train,134,0.68,Normal,0.16,21,68,16,High,Low Risk,Medium,Medium Distance
670,S47,798,Truck,670,0.85,Normal,0.48,28,85,48,Critical,High Risk,Medium,Medium Distance
671,S46,544,Truck,4149,0.86,Monsoon,0.48,23,86,48,Critical,High Risk,Medium,Short Distance
672,S17,1740,Air,789,0.66,Monsoon,0.06,97,66,6,High,Low Risk,Very Long,Long Distance
673,S30,1279,Train,4648,0.45,Monsoon,0.16,26,45,16,Normal,Low Risk,Medium,Medium Distance
674,S32,1896,Truck,762,0.42,Peak,0.56,51,42,56,Normal,High Risk,Long,Long Distance
675,S20,1974,Air,2340,0.25,Normal,0.5,108,25,50,Normal,High Risk,Very Long,Long Distance
676,S13,1801,Train,2212,0.49,Monsoon,0.27,38,49,27,Normal,Medium Risk,Long,Long Distance
677,S42,839,Ship,987,0.21,Monsoon,0.24,19,21,24,Normal,Low Risk,Medium,Medium Distance
678,S24,1847,Ship,1241,0.18,Normal,0.6,27,18,60,Normal,High Risk,Medium,Long Distance
679,S29,1717,Air,3798,0.78,Monsoon,0.21,96,78,21,High,Low Risk,Very Long,Long Distance
680,S22,1063,Ship,1152,0.74,Peak,0.15,19,74,15,High,Low Risk,Medium,Medium Distance
681,S29,1189,Train,1857,0.66,Normal,0.58,29,66,58,High,High Risk,Medium,Medium Distance
682,S41,541,Truck,1830,0.63,Normal,0.12,17,63,12,High,Low Risk,Medium,Short Distance
683,S35,1710,Ship,3943,0.49,Monsoon,0.15,27,49,15,Normal,Low Risk,Medium,Long Distance
684,S44,677,Ship,3782,0.66,Monsoon,0.36,19,66,36,High,Medium Risk,Medium,Short Distance
685,S11,914,Ship,925,0.22,Normal,0.32,16,22,32,Normal,Medium Risk,Medium,Medium Distance
686,S34,531,Truck,4297,0.23,Normal,0.54,22,23,54,Normal,High Risk,Medium,Short Distance
687,S5,827,Train,4858,0.5,Monsoon,0.2,22,50,20,Normal,Low Risk,Medium,Medium Distance
688,S12,1529,Air,3363,0.59,Monsoon,0.43,90,59,43,Normal,Medium Risk,Very Long,Long Distance
689,S14,1663,Ship,4828,0.13,Monsoon,0.26,25,13,26,Normal,Medium Risk,Medium,Long Distance
690,S6,1486,Air,3742,0.67,Peak,0.34,85,67,34,High,Medium Risk,Very Long,Medium Distance
691,S27,1472,Train,3787,0.11,Normal,0.02,26,11,2,Normal,Low Risk,Medium,Medium Distance
692,S11,1036,Truck,1821,0.51,Normal,0.53,33,51,53,Normal,High Risk,Long,Medium Distance
693,S48,1768,Ship,4550,0.65,Normal,0.35,27,65,35,High,Medium Risk,Medium,Long Distance
694,S41,1107,Truck,3090,0.45,Normal,0.24,31,45,24,Normal,Low Risk,Long,Medium Distance
695,S40,1972,Truck,2810,0.37,Monsoon,0.12,47,37,12,Normal,Low Risk,Long,Long Distance
696,S20,148,Truck,2878,0.73,Monsoon,0.48,15,73,48,High,High Risk,Medium,Short Distance
697,S29,964,Truck,412,0.18,Monsoon,0.26,29,18,26,Normal,Medium Risk,Medium,Medium Distance
698,S50,1141,Ship,4294,0.81,Peak,0.15,21,81,15,Critical,Low Risk,Medium,Medium Distance
699,S10,1371,Truck,1669,0.97,Normal,0.26,37,97,26,Critical,Medium Risk,Long,Medium Distance
700,S27,413,Ship,2293,0.53,Monsoon,0.03,11,53,3,Normal,Low Risk,Short,Short Distance
701,S21,142,Truck,1284,0.64,Normal,0.44,12,64,44,High,Medium Risk,Short,Short Distance
702,S39,182,Air,539,0.6,Monsoon,0.45,23,60,45,High,High Risk,Medium,Short Distance
703,S27,803,Train,1656,0.43,Peak,0.58,25,43,58,Normal,High Risk,Medium,Medium Distance
704,S46,643,Air,3023,0.61,Normal,0.34,40,61,34,High,Medium Risk,Long,Short Distance
705,S21,1295,Train,2506,0.91,Normal,0.48,32,91,48,Critical,High Risk,Long,Medium Distance
706,S17,1984,Truck,4698,0.47,Normal,0.59,50,47,59,Normal,High Risk,Long,Long Distance
707,S42,491,Truck,4616,0.44,Normal,0.26,17,44,26,Normal,Medium Risk,Medium,Short Distance
708,S47,792,Ship,731,0.18,Peak,0.19,15,18,19,Normal,Low Risk,Medium,Medium Distance
709,S35,1653,Train,2489,0.45,Peak,0.02,31,45,2,Normal,Low Risk,Long,Long Distance
710,S22,194,Truck,3847,0.59,Normal,0.03,9,59,3,Normal,Low Risk,Short,Short Distance
711,S22,378,Ship,3193,0.45,Monsoon,0.18,12,45,18,Normal,Low Risk,Short,Short Distance
712,S19,1282,Train,2420,0.87,Normal,0.15,28,87,15,Critical,Low Risk,Medium,Medium Distance
713,S20,489,Air,1413,0.47,Monsoon,0.32,37,47,32,Normal,Medium Risk,Long,Short Distance
714,S24,1252,Train,4626,0.58,Monsoon,0.26,30,58,26,Normal,Medium Risk,Long,Medium Distance
715,S30,310,Truck,4949,0.98,Normal,0.57,18,98,57,Critical,High Risk,Medium,Short Distance
716,S37,1163,Air,3627,0.17,Normal,0.17,64,17,17,Normal,Low Risk,Very Long,Medium Distance
717,S28,1140,Truck,3256,0.45,Normal,0.08,27,45,8,Normal,Low Risk,Medium,Medium Distance
718,S32,658,Train,1283,0.86,Normal,0.5,23,86,50,Critical,High Risk,Medium,Short Distance
719,S15,895,Air,2591,0.53,Normal,0.19,50,53,19,Normal,Low Risk,Long,Medium Distance
720,S3,1372,Train,4726,0.99,Monsoon,0.22,31,99,22,Critical,Low Risk,Long,Medium Distance
721,S17,950,Truck,3902,0.88,Normal,0.38,29,88,38,Critical,Medium Risk,Medium,Medium Distance
722,S14,1784,Ship,2571,0.6,Monsoon,0.03,26,60,3,High,Low Risk,Medium,Long Distance
723,S46,240,Truck,2566,0.37,Normal,0.01,10,37,1,Normal,Low Risk,Short,Short Distance
724,S26,1073,Ship,4359,0.79,Monsoon,0.17,22,79,17,High,Low Risk,Medium,Medium Distance
725,S42,382,Ship,1005,0.4,Peak,0.22,13,40,22,Normal,Low Risk,Short,Short Distance
726,S10,926,Train,2128,0.3,Normal,0.26,20,30,26,Normal,Medium Risk,Medium,Medium Distance
727,S34,221,Truck,2442,0.41,Normal,0.14,11,41,14,Normal,Low Risk,Short,Short Distance
728,S19,1138,Ship,2255,0.91,Peak,0.47,26,91,47,Critical,High Risk,Medium,Medium Distance
729,S41,189,Truck,3621,0.27,Monsoon,0.39,14,27,39,Normal,Medium Risk,Short,Short Distance
730,S36,1490,Train,1924,0.16,Normal,0.18,27,16,18,Normal,Low Risk,Medium,Medium Distance
731,S24,1560,Air,727,0.27,Peak,0.6,90,27,60,Normal,High Risk,Very Long,Long Distance
732,S23,1768,Air,3491,0.19,Peak,0.49,99,19,49,Normal,High Risk,Very Long,Long Distance
733,S27,1417,Train,353,0.94,Peak,0.05,30,94,5,Critical,Low Risk,Long,Medium Distance
734,S39,828,Air,4844,0.3,Peak,0.43,52,30,43,Normal,Medium Risk,Long,Medium Distance
735,S40,1360,Air,3977,0.74,Peak,0.18,77,74,18,High,Low Risk,Very Long,Medium Distance
736,S31,229,Ship,4989,0.72,Monsoon,0.05,14,72,5,High,Low Risk,Short,Short Distance
737,S39,1835,Truck,246,0.26,Peak,0.38,45,26,38,Normal,Medium Risk,Long,Long Distance
738,S18,712,Ship,4915,0.69,Peak,0.46,20,69,46,High,High Risk,Medium,Short Distance
739,S21,763,Ship,4272,0.48,Normal,0.35,15,48,35,Normal,Medium Risk,Medium,Medium Distance
740,S1,497,Air,4602,0.48,Monsoon,0.09,33,48,9,Normal,Low Risk,Long,Short Distance
741,S41,151,Truck,64,0.48,Peak,0.26,12,48,26,Normal,Medium Risk,Short,Short Distance
742,S41,1150,Truck,4870,0.5,Monsoon,0.23,33,50,23,Normal,Low Risk,Long,Medium Distance
743,S28,1899,Truck,2687,0.64,Monsoon,0.4,49,64,40,High,Medium Risk,Long,Long Distance
744,S41,825,Train,253,0.31,Monsoon,0.43,23,31,43,Normal,Medium Risk,Medium,Medium Distance
745,S1,136,Ship,2669,0.65,Monsoon,0.5,16,65,50,High,High Risk,Medium,Short Distance
746,S6,1130,Air,2819,0.55,Normal,0.12,62,55,12,Normal,Low Risk,Very Long,Medium Distance
747,S48,1325,Train,4229,0.26,Monsoon,0.47,32,26,47,Normal,High Risk,Long,Medium Distance
748,S4,296,Train,2822,0.81,Peak,0.32,15,81,32,Critical,Medium Risk,Medium,Short Distance
749,S35,197,Train,4948,0.65,Peak,0.51,14,65,51,High,High Risk,Short,Short Distance
750,S21,662,Ship,3653,0.86,Monsoon,0.29,18,86,29,Critical,Medium Risk,Medium,Short Distance
751,S29,52,Truck,159,0.41,Normal,0.58,11,41,58,Normal,High Risk,Short,Short Distance
752,S18,1899,Air,2620,0.86,Monsoon,0.2,107,86,20,Critical,Low Risk,Very Long,Long Distance
753,S19,856,Ship,785,0.2,Normal,0.51,17,20,51,Normal,High Risk,Medium,Medium Distance
754,S24,461,Truck,3023,0.29,Peak,0.04,17,29,4,Normal,Low Risk,Medium,Short Distance
755,S17,122,Train,4787,0.39,Peak,0.2,11,39,20,Normal,Low Risk,Short,Short Distance
756,S5,1612,Truck,3939,0.41,Peak,0.51,43,41,51,Normal,High Risk,Long,Long Distance
757,S10,1151,Truck,729,0.14,Monsoon,0.47,33,14,47,Normal,High Risk,Long,Medium Distance
758,S7,1214,Truck,1880,0.2,Monsoon,0.24,33,20,24,Normal,Low Risk,Long,Medium Distance
759,S13,515,Truck,468,0.13,Peak,0.25,16,13,25,Normal,Medium Risk,Medium,Short Distance
760,S11,148,Train,1280,0.29,Monsoon,0.37,12,29,37,Normal,Medium Risk,Short,Short Distance
761,S36,1193,Train,2097,0.31,Peak,0.21,24,31,21,Normal,Low Risk,Medium,Medium Distance
762,S7,191,Train,3328,0.29,Normal,0.22,8,29,22,Normal,Low Risk,Short,Short Distance
763,S37,1480,Ship,4945,0.57,Normal,0.45,23,57,45,Normal,High Risk,Medium,Medium Distance
764,S15,165,Air,1979,0.82,Normal,0.49,20,82,49,Critical,High Risk,Medium,Short Distance
765,S28,1663,Air,121,0.63,Monsoon,0.54,96,63,54,High,High Risk,Very Long,Long Distance
766,S48,738,Truck,3054,0.29,Peak,0.15,21,29,15,Normal,Low Risk,Medium,Short Distance
767,S45,639,Train,741,0.63,Peak,0.26,19,63,26,High,Medium Risk,Medium,Short Distance
768,S43,112,Air,2270,0.1,Peak,0.24,13,10,24,Normal,Low Risk,Short,Short Distance
769,S41,103,Train,846,0.29,Peak,0.15,9,29,15,Normal,Low Risk,Short,Short Distance
770,S22,805,Truck,3319,0.33,Normal,0.22,22,33,22,Normal,Low Risk,Medium,Medium Distance
771,S11,1752,Air,1959,0.25,Monsoon,0.22,96,25,22,Normal,Low Risk,Very Long,Long Distance
772,S23,1093,Ship,1935,0.4,Normal,0.51,21,40,51,Normal,High Risk,Medium,Medium Distance
773,S5,585,Air,1409,0.26,Monsoon,0.17,36,26,17,Normal,Low Risk,Long,Short Distance
774,S11,1933,Ship,1021,0.42,Peak,0.12,28,42,12,Normal,Low Risk,Medium,Long Distance
775,S37,1099,Truck,4181,0.1,Normal,0.19,27,10,19,Normal,Low Risk,Medium,Medium Distance
776,S34,1767,Train,4214,0.12,Monsoon,0.08,33,12,8,Normal,Low Risk,Long,Long Distance
777,S24,40,Truck,823,0.29,Normal,0.07,4,29,7,Normal,Low Risk,Short,Short Distance
778,S48,405,Train,219,0.9,Peak,0.42,17,90,42,Critical,Medium Risk,Medium,Short Distance
779,S33,1979,Ship,1599,0.59,Normal,0.37,29,59,37,Normal,Medium Risk,Medium,Long Distance
780,S32,291,Ship,1680,0.5,Normal,0.51,13,50,51,Normal,High Risk,Short,Short Distance
781,S49,835,Train,3375,0.5,Monsoon,0.55,26,50,55,Normal,High Risk,Medium,Medium Distance
782,S38,302,Train,4123,1,Normal,0.48,14,100,48,Critical,High Risk,Short,Short Distance
783,S25,1149,Air,4765,0.82,Peak,0.3,70,82,30,Critical,Medium Risk,Very Long,Medium Distance
784,S13,1804,Train,962,0.23,Peak,0.22,34,23,22,Normal,Low Risk,Long,Long Distance
785,S11,1430,Truck,3851,0.65,Peak,0.24,39,65,24,High,Low Risk,Long,Medium Distance
786,S47,1568,Train,2824,0.47,Monsoon,0.39,36,47,39,Normal,Medium Risk,Long,Long Distance
787,S23,1377,Truck,705,0.16,Monsoon,0.35,36,16,35,Normal,Medium Risk,Long,Medium Distance
788,S45,275,Ship,799,0.72,Normal,0.33,11,72,33,High,Medium Risk,Short,Short Distance
789,S34,667,Ship,1993,0.21,Peak,0.53,17,21,53,Normal,High Risk,Medium,Short Distance
790,S37,877,Truck,1652,0.98,Peak,0.44,30,98,44,Critical,Medium Risk,Long,Medium Distance
791,S13,103,Air,2310,0.69,Peak,0.33,16,69,33,High,Medium Risk,Medium,Short Distance
792,S3,1580,Train,2197,0.88,Peak,0.08,32,88,8,Critical,Low Risk,Long,Long Distance
793,S35,1707,Train,4422,0.44,Peak,0.05,32,44,5,Normal,Low Risk,Long,Long Distance
794,S50,1230,Train,3024,0.18,Peak,0.16,23,18,16,Normal,Low Risk,Medium,Medium Distance
795,S21,454,Train,2701,0.97,Monsoon,0.51,22,97,51,Critical,High Risk,Medium,Short Distance
796,S48,1649,Train,930,0.76,Peak,0.2,34,76,20,High,Low Risk,Long,Long Distance
797,S3,1519,Air,2046,0.7,Monsoon,0.33,89,70,33,High,Medium Risk,Very Long,Long Distance
798,S1,1607,Train,4184,0.35,Monsoon,0.05,32,35,5,Normal,Low Risk,Long,Long Distance
